	V_cra Queen.x	V_cra Worker.x	V_vul Queen.x	V_vul Worker.x	A_caj Queen.x	A_caj Worker.x	P_can Queen.x	P_can Worker.x	A_pal Queen.x	A_pal Worker.x	M_cin Queen.x	M_cin Worker.x	M_bas Queen.x	M_bas Worker.x	P_qua Queen.x	P_qua Worker.x	B_mel Queen.x	B_mel Worker.x
OG0000662	270.5603795	277.2030639	467.6440215	807.18872	428.8330651	367.3826122	580.0779268	609.021372	551.7394797	540.6890531	613.2283405	608.2738615	366.9787179	417.7407938	455.7861261	430.8851808	719.9485444	726.8896334
OG0000699	750.27633	846.5621871	311.9467257	496.8081082	1457.515147	1435.112878	1148.442321	1740.384606	314.5137989	337.1431293	871.6633971	1553.159521	2155.165035	1852.077204	2672.360637	3416.476343	2146.074489	1582.144071
OG0000701	483.9457354	492.2931981	896.7370884	1141.330124	430.3265714	411.8173134	913.7512034	877.1992273	916.6411244	869.4367208	342.0972218	341.3213542	1193.519961	822.3395138	807.4869068	885.8361457	245.8953953	328.1541864
OG0000707	289.043081	266.3060119	269.1370973	205.9332671	1811.879144	1747.387338	316.6832701	323.1386258	363.2681273	308.2266846	594.6146038	470.5961882	767.4973886	680.4677959	192.077102	160.2103119	1496.148514	1282.727788
OG0000708	117.6492794	112.045015	243.7360993	264.206675	102.4545306	105.5637742	91.79898022	97.00520054	167.6622126	187.0683966	123.086318	179.7017853	76.63897395	62.49194044	99.76361062	119.0248829	155.4490866	135.2267477
OG0000710	171.2333615	150.5711364	70.74161825	137.3003678	70.27302632	103.3084629	83.66416561	93.31300498	188.6170164	167.0352776	121.0407562	130.7694983	142.2350212	105.4668785	220.2872377	257.0796494	121.9041918	179.3189526
OG0000726	37.06458417	40.54975477	27.88956153	19.36941477	183.5495508	291.1632257	101.5998014	134.0315435	98.54614091	87.5570561	81.25304531	107.3307816	114.9605587	69.24594926	28.76402146	34.13657809	62.25794654	83.73997723
OG0000728	106.6693412	134.2262257	466.5991529	476.7788619	159.515953	133.6715418	263.6091824	297.5320211	268.4349315	260.8925646	271.1333088	285.3024248	197.6160816	171.5225485	59.66751558	52.4645975	293.2819153	369.2814635
OG0000739	378.5788763	579.8500469	640.0923084	862.0340222	424.494785	507.2195164	294.8012195	514.0347101	317.0421094	304.0265306	711.1305947	977.6022018	376.7685465	347.9281008	203.8838215	246.7097827	1292.14606	1057.846002
OG0000743	65.05846754	50.39060637	299.1480758	503.748822	809.1485121	768.7368015	193.3159747	221.6390048	239.7316957	339.8053808	333.7726174	387.6683429	372.9938683	486.4237526	138.6695249	155.477512	184.3853272	295.0132767
OG0000752	2118.831989	5491.440804	1156.907663	2062.48779	12282.52451	9731.351598	1413.3378	3413.524191	6379.661639	7434.419555	3727.12318	12232.94782	6832.736751	22874.13139	1114.585229	2482.401889	33303.69033	13953.21069
OG0000757	40.25734251	25.40220501	13.20935622	39.42527376	509.9043789	504.9059217	106.7334015	138.0686208	43.40192028	42.64771736	227.8173322	345.4161893	180.630729	187.4814512	218.464724	278.1275183	543.8799391	374.0188382
OG0000769	249.1897559	259.3811412	207.1065828	239.5421469	95.21458115	82.67616539	211.1786718	249.6649722	274.1410949	206.7929659	362.246225	302.8988133	52.44551037	42.22428408	46.51451304	38.06379504	165.2380719	252.9953376
OG0000776	146.8683419	128.297821	143.1252132	188.1554043	645.1994531	664.1790481	676.142107	746.6280358	379.0905054	360.7302248	291.0676812	364.8666556	644.0280703	576.128775	244.1875246	270.4160753	550.4424749	631.1360764
OG0000780	98.63420843	154.092472	432.6842016	494.5880016	129.1906636	108.8301746	411.0123664	439.3199436	191.5927234	246.8398187	304.9157407	343.5422817	229.5015534	241.7124451	58.24120047	63.84244988	78.70344185	94.68831347
OG0000782	1353.354687	1670.781646	358.7932691	455.2538148	671.6771858	563.0802835	399.6300618	385.4393796	530.9303398	544.4918079	545.7664118	552.0120181	450.0146456	301.2843417	108.4427381	109.5421644	638.6412325	600.0871866
OG0000783	2287.174511	557.9641718	367.7122717	122.1722565	175.664786	346.4056829	2978.302366	2138.440429	222.635501	165.6993055	217.6990285	164.5865892	1684.256098	266.8499689	277.893728	228.9869575	333.2131442	410.1246757
OG0000784	385.1525454	488.8743122	127.251923	195.8330442	1349.631839	1086.517769	277.9399283	378.5048342	895.9806213	1038.895164	121.5488615	143.5175228	79.29761168	112.4104274	143.6632126	150.5282117	1156.267113	1025.296894
OG0000785	500.7394401	378.4027523	71.64760472	90.20897711	1326.966104	1063.181632	969.9144612	1144.973375	1855.504924	1912.01025	732.9944532	1187.750027	636.7150683	580.964863	1219.855208	1583.429706	2299.632343	1073.567221
OG0000788	710.567401	910.3506879	193.1612363	164.7754213	112.2642592	270.0697297	105.0317836	120.8239567	637.1297851	527.9868182	790.7235374	852.6254574	481.8707479	264.4197267	247.3491898	212.9397448	1608.529981	1004.583826
OG0000791	219.312889	263.9553401	83.35726058	94.10486359	251.7506335	287.3849458	147.5507777	181.553134	153.5848295	177.8700594	115.1975453	159.6291618	459.0031068	560.3631656	65.45201577	95.46258819	624.5372624	375.7942441
OG0000800	355.1867072	367.9418626	80.24613191	89.27588486	401.0988906	478.0525126	295.2306999	415.9348849	591.1282087	595.2910549	452.4787173	464.0152033	684.5915258	645.1870608	222.348263	215.5951477	620.1792062	576.7997795
OG0000803	164.052937	149.2986902	174.8618937	149.330975	648.7127488	607.5986086	224.3085029	203.2962556	227.562808	200.7996693	431.4514805	419.6437495	286.8405795	155.762569	421.4753236	394.5342565	482.7927552	621.6879581
OG0000811	922.9696966	886.7221655	340.0772802	395.3507191	792.9783433	822.811058	128.0044829	155.0808646	612.6820185	722.2633252	457.9496097	656.6112573	161.8132799	298.9479313	137.7978879	154.1684397	1519.642079	693.5889372
OG0000821	80.64887129	206.6024873	91.53207009	137.5390594	806.1330518	347.2697965	211.4506904	275.319445	281.2191752	303.7034418	401.4469866	496.9300424	58.31940754	59.48932468	126.0704081	146.1126101	422.3555599	375.7972031
OG0000825	153.033618	140.4009104	124.9090301	171.446441	1907.179068	1966.631473	372.2093865	372.8615769	541.3363961	531.5779498	332.239541	338.3444191	425.0785536	572.2516474	84.39031088	87.80854306	430.7231846	421.067094
OG0000858	664.9834466	1141.195395	317.704817	1354.282571	388.5558085	334.7692901	83.9220255	137.952699	248.611253	336.9315062	134.6895157	214.4087344	215.5146854	442.3247103	268.3849605	409.5372323	394.6918875	186.7164771
OG0000863	521.1401302	699.0985826	133.3384097	195.6772088	193.3592794	283.1860122	100.5263148	122.4964601	58.86162483	60.25605521	404.9511611	443.1915296	338.0259991	341.1759686	148.4160115	164.9421049	231.3528787	230.770215
